[2025-12-10T17:58:53.184509600] Client UI started
[2025-12-10T17:59:26.636477900] Starting upload request: file=C:\Users\anna\Desktop\курсач.docx, server=127.0.0.1:69
[2025-12-10T17:59:26.643116500] Connecting to server 127.0.0.1:69
[2025-12-10T17:59:26.643116500] Uploading file: C:\Users\anna\Desktop\курсач.docx
[2025-12-10T17:59:26.653400300] CLIENT: WRQ sent for file: курсач.docx
[2025-12-10T17:59:26.664805800] CLIENT: Detected server data port: 60478
[2025-12-10T17:59:26.665838700] Upload progress: 512/71349
[2025-12-10T17:59:26.667839100] Upload progress: 1024/71349
[2025-12-10T17:59:26.667839100] Upload progress: 1536/71349
[2025-12-10T17:59:26.667839100] Upload progress: 2048/71349
[2025-12-10T17:59:26.667839100] Upload progress: 2560/71349
[2025-12-10T17:59:26.667839100] Upload progress: 3072/71349
[2025-12-10T17:59:26.669342300] Upload progress: 3584/71349
[2025-12-10T17:59:26.669342300] Upload progress: 4096/71349
[2025-12-10T17:59:26.669342300] Upload progress: 4608/71349
[2025-12-10T17:59:26.669342300] Upload progress: 5120/71349
[2025-12-10T17:59:26.669342300] Upload progress: 5632/71349
[2025-12-10T17:59:26.670690700] Upload progress: 6144/71349
[2025-12-10T17:59:26.670690700] Upload progress: 6656/71349
[2025-12-10T17:59:26.670690700] Upload progress: 7168/71349
[2025-12-10T17:59:26.670690700] Upload progress: 7680/71349
[2025-12-10T17:59:26.671963800] Upload progress: 8192/71349
[2025-12-10T17:59:26.671963800] Upload progress: 8704/71349
[2025-12-10T17:59:26.671963800] Upload progress: 9216/71349
[2025-12-10T17:59:26.671963800] Upload progress: 9728/71349
[2025-12-10T17:59:26.672968300] Upload progress: 10240/71349
[2025-12-10T17:59:26.672968300] Upload progress: 10752/71349
[2025-12-10T17:59:26.672968300] Upload progress: 11264/71349
[2025-12-10T17:59:26.672968300] Upload progress: 11776/71349
[2025-12-10T17:59:26.672968300] Upload progress: 12288/71349
[2025-12-10T17:59:26.672968300] Upload progress: 12800/71349
[2025-12-10T17:59:26.674470900] Upload progress: 13312/71349
[2025-12-10T17:59:26.674470900] Upload progress: 13824/71349
[2025-12-10T17:59:26.674470900] Upload progress: 14336/71349
[2025-12-10T17:59:26.674470900] Upload progress: 14848/71349
[2025-12-10T17:59:26.675495200] Upload progress: 15360/71349
[2025-12-10T17:59:26.675495200] Upload progress: 15872/71349
[2025-12-10T17:59:26.675495200] Upload progress: 16384/71349
[2025-12-10T17:59:26.676503] Upload progress: 16896/71349
[2025-12-10T17:59:26.676503] Upload progress: 17408/71349
[2025-12-10T17:59:26.676503] Upload progress: 17920/71349
[2025-12-10T17:59:26.676503] Upload progress: 18432/71349
[2025-12-10T17:59:26.677510700] Upload progress: 18944/71349
[2025-12-10T17:59:26.677510700] Upload progress: 19456/71349
[2025-12-10T17:59:26.677510700] Upload progress: 19968/71349
[2025-12-10T17:59:26.677510700] Upload progress: 20480/71349
[2025-12-10T17:59:26.678807400] Upload progress: 20992/71349
[2025-12-10T17:59:26.678807400] Upload progress: 21504/71349
[2025-12-10T17:59:26.678807400] Upload progress: 22016/71349
[2025-12-10T17:59:26.679811700] Upload progress: 22528/71349
